precio,baños,habitabiones,metros_construidos,estrato
1600000000,2.0,5.0,540.0,
2500000000,6.0,6.0,264.0,3.0
7500000000,8.0,8.0,305.0,5.0
300000000,3.0,3.0,75.0,3.0
600000000,3.0,3.0,96.0,4.0
2300000000,3.0,6.0,88.0,4.0
2100000000,3.0,4.0,190.0,5.0
2700000000,3.0,4.0,265.0,5.0
2000000000,,12.0,390.0,4.0
1900000000,6.0,4.0,310.0,
415000000,3.0,3.0,154.0,3.0
6800000000,4.0,,452.0,1.0
12000000000,9.0,6.0,,
550000000,3.0,4.0,350.0,3.0
160000000,3.0,4.0,31.0,4.0
690000000,4.0,4.0,205.0,4.0
4000000000,2.0,5.0,975.0,5.0
4000000000,2.0,2.0,240.0,6.0
480000000,4.0,5.0,250.0,
900000000,2.0,3.0,271.0,5.0
7200000000,5.0,6.0,489.0,6.0
580000000,4.0,3.0,115.0,
340000000,4.0,3.0,198.0,
550000000,2.0,3.0,117.0,
780000000,7.0,10.0,301.0,2.0
7976842764,,12.0,485.0,4.0
3200000000,5.0,4.0,450.0,
7578000626,7.0,7.0,803.0,3.0
370000000,2.0,3.0,108.0,5.0
320000000,2.0,3.0,127.0,4.0
300000000,,,,
1250000000,3.0,3.0,280.0,5.0
2200000000,4.0,4.0,370.0,6.0
1550000000,4.0,7.0,285.0,
560000000,2.0,3.0,145.0,5.0
420000000,3.0,3.0,125.0,4.0
7850000000,5.0,4.0,443.0,6.0
500000000,3.0,4.0,260.0,3.0
495000000,2.0,3.0,100.0,6.0
380000000,3.0,3.0,90.0,
900000000,4.0,6.0,219.0,5.0
2700000000,4.0,4.0,270.0,6.0
610000000,2.0,3.0,147.0,5.0
135000000,,2.0,,
1600000000,3.0,3.0,390.0,5.0
900000000,4.0,5.0,108.0,5.0
650000000,4.0,5.0,160.0,5.0
2900000000,9.0,12.0,1486.0,5.0
115000000,,2.0,,2.0
650000000,5.0,4.0,210.0,4.0
1350000000,5.0,3.0,150.0,6.0
2500000000,3.0,4.0,270.0,5.0
1700000000,2.0,3.0,,6.0
280000000,2.0,4.0,168.0,3.0
265000000,2.0,3.0,155.0,
700000000,4.0,4.0,,4.0
350000000,2.0,4.0,300.0,3.0
2000000000,3.0,3.0,351.0,4.0
1300000000,2.0,6.0,297.0,3.0
1500000000,5.0,4.0,305.0,
550000000,3.0,3.0,128.0,5.0
260000000,3.0,4.0,105.0,2.0
2750000000,6.0,4.0,270.0,6.0
600000000,3.0,5.0,,4.0
2500000000,5.0,4.0,325.0,5.0
1050000000,2.0,3.0,300.0,3.0
3244500000,2.0,4.0,200.0,6.0
218000000,2.0,3.0,102.0,3.0
280000000,3.0,3.0,140.0,3.0
310000000,,3.0,199.0,
950000000,3.0,3.0,320.0,5.0
2000000000,5.0,5.0,450.0,5.0
800000000,,,140.0,
1500000000,5.0,7.0,500.0,5.0
2200000000,5.0,4.0,260.0,6.0
8500000000,4.0,4.0,460.0,5.0
